Name,Price,Shipping_Charge,Brand
Mens Speedcross 5 Athletic Salomon Running Outdoor Sports Hiking Trainers Shoes,$6.35,Free , Salomon
New ListingNike Air Shoes - Size 12 -,$9.95,$54.00 , Nike
Salomon speedcross Vario Mens | 4 Shoes Cross GTX Gore-Tex racing,$38.85 to $42.18,$2.21 , Salomon
Nike Air Max 720 Unisex Various Colors,$94.37,$5.55 , Nike
New ListingAir Jordan 4 Retro Bred  Black Red Men’s Size 12 Nike (2012) Used OG Box HangTag,$77.00,$66.75 , Jordan
New Men's Salomon Speedcross 4 Athletic Running Sports Outdoor Hiking Shoes #3,$3.13,$3.31 , Salomon
All/Star Chuck Taylor Mens Ladies Unisex Mesh Shoes Canvas High Tops Shoes,$19.97,$5.54 , Converse
New ListingAir Jordan DMP 1 Retro High- Bulls vs. Celtics - Size 12 (2 pair),$999.00,$70.75 , Jordan
adidas Originals Rom City Series Mens Retro White / Blue Leather Trainers EE4941,$71.75,$23.47 , adidas
All/Star Chuck Taylor Mens Ladies Unisex Mesh Shoes Low Canvas Shoes BK,$18.86,$5.54 , Converse
VAN OLD SKOOL BLACK CANVAS SKATE Street Style Fashion Sneakers Shoes Men&Female.,$25.16 to $28.87,Free , Style
"New ListingNike Air Jordan  12’s (Size 10, Flu Games) (Defects explained in description)",$58.00,$35.00 , Nike
Air jordan 1 mid Fearless x maison chateau rouge,$188.74,Free , Fearless
Adidas Originals Mens Jeans Trainers Casual Trainer Sports Shoes Sneakers,$71.75 to $76.97,$14.34 , adidas
New ListingNike Air Trainer 3 Medicine-Ball OG Sz 9us/8uk (42.5eu) - LIKE NEW,$111.03,$22.21 , Nike
Adidas Originals ZX 8000 OG Light Aqua Green Shock Yellow UK 5 7 8 9 10 11 12 13,$176.08 to $189.13,$26.10 , adidas
Chuck Taylor All-Star Uomini Donna Alta Top Scarpe Da Ginnastica scarpe di tela,$6.43 to $20.97,$6.65 , Converse
New ListingNike Air Jordan 4 Royalty,$65.24,$19.57 , Air Jordan
